from,to
E2F3,ENOPH1
POU,SMPDL3A
ATF4,TXNDC12
POU3F2,CGA
POU2F1,CPLX2
EGR2,LRIF1
TFAP2A,LY6G6D
TBX1,SEMA5B
NFY,MINOS1
ZNF143,C2CD3
NRF1,ZNF74
ATF1,AKAP2
SP1,NUAK1
ETV3,WRAP53
TFCP2,SERPINC1
USF,EIF4E
SP1,HEG1
HOXD8,SSPN
GATA,MYO1D
FOXJ1,SLCO1A2
CREB3,CXorf56
ETS1,DLG2
HOXD8,C1orf100
POU5F1,RXFP1
STAT6,CDK14
GABPA,RAB24
TP63,ARHGAP44
FOXJ3,DHX8
RFX1,RABAC1
EGR1,ST8SIA6
NFYA,GOLPH3L
DLX6,MAATS1
FEV,AAR2
KLF7,UBE2L3
KLF7,DNAH9
FOXC2,RASA1
SOX21,DNAI2
RARB,SERPINA3
IRF7,WDR59
ASCL2,VPS37B
HOXB13,PFDN1
VAX1,TMEM212
SP3,EFNB3
IRF9,CAMK4
NFY,ARNTL
KLF7,CREB3L4
ETV6,ATP7A
IRF5,DEK
HOXA5,IL1RN
GABP,CRADD
MEOX2,AFP
PATZ1,SYN1
DLX3,TP53BP2
MYBL2,ARL6IP1
NR4A2,CMTR1
ETS,RND2
TFAP2A,MALT1
SP4,NAA35
HSF1,NETO1
SPIB,GNGT2
NFY,SLC25A28
TFEB,SLC18A2
NR2F1,ABCD2
FLI1,ZNF226
MSX2,COL4A2
ELF5,NUDT22
FOXJ3,NYAP2
CACD,BCS1L
ATF3,VRK3
CACBP,ZADH2
HF1H3B,CSAD
TFEC,TRMT1
NFY,GATAD2A
LMO2,DGKI
NFY,MLLT3
RFX5,UBD
NRF1,BYSL
HF1H3B,CACNG8
FOXO3,COL19A1
DBX1,NRCAM
NRF1,NF1
RXRG,CRYAA
MYEF2,MAOB
EGR3,RAB39A
HOXD3,LRRK2
RARB,DNASE1L3
KLF4,PPCS
TAL1,RAD52
SP1,CDCA7L
EN2,SHROOM3
NR2F2,KIAA1549
FOXL1,SLC37A2
NKX6-1,TLE3
SREBF1,KIAA0196
FOXJ2,SGK1
ELK1,ST13
